Date,Date Name,Full Date Name,Code Enforcement Complaints Filed,% Responded to in 10 days
09/30/2009 12:00:00 AM,Q1 FY 2010,Quarter 1 Fiscal Year 2009-10,7073,70%
12/31/2009 12:00:00 AM,Q2 FY 2010,Quarter 2 Fiscal Year 2009-10,4679,75%
03/30/2010 12:00:00 AM,Q3 FY 2010,Quarter 3 Fiscal Year 2009-10,5186,58%
06/30/2010 12:00:00 AM,Q4 FY 2010,Quarter 4 Fiscal Year 2009-10,6194,50%
09/30/2010 12:00:00 AM,Q1 FY 2011,Quarter 1 Fiscal Year 2010-11,6006,55%
12/31/2010 12:00:00 AM,Q2 FY 2011,Quarter 2 Fiscal Year 2010-11,3760,51%
03/30/2011 12:00:00 AM,Q3 FY 2011,Quarter 3 Fiscal Year 2010-11,4637,56%
06/30/2011 12:00:00 AM,Q4 FY 2011,Quarter 4 Fiscal Year 2010-11,6211,59%
09/30/2011 12:00:00 AM,Q1 FY 2012,Quarter 1 Fiscal Year 2011-12,5815,61%
12/31/2011 12:00:00 AM,Q2 FY 2012,Quarter 2 Fiscal Year 2011-12,3943,55%
03/30/2012 12:00:00 AM,Q3 FY 2012,Quarter 3 Fiscal Year 2011-12,4418,54%
06/30/2012 12:00:00 AM,Q4 FY 2012,Quarter 4 Fiscal Year 2011-12,5401,45%
09/30/2012 12:00:00 AM,Q1 FY 2013,Quarter 1 Fiscal Year 2012-13,5763,46%
12/31/2012 12:00:00 AM,Q2 FY 2013,Quarter 2 Fiscal Year 2012-13,4226,48%
03/30/2013 12:00:00 AM,Q3 FY 2013,Quarter 3 Fiscal Year 2012-13,4198,57%
06/30/2013 12:00:00 AM,Q4 FY 2013,Quarter 4 Fiscal Year 2012-13,5624,54%
09/30/2013 12:00:00 AM,Q1 FY 2014,Quarter 1 Fiscal Year 2013-14,5635,53%
12/31/2013 12:00:00 AM,Q2 FY 2014,Quarter 2 Fiscal Year 2013-14,4186,50%
03/30/2014 12:00:00 AM,Q3 FY 2014,Quarter 3 Fiscal Year 2013-14,4916,55%
