Date Value,Month-Year,Quarter-FY,Annual-FY,# of tourists who took tours at the El Pueblo Monument (Annually FY),PROJECTED: # of tourists who will take tours at the El Pueblo Monument (Annually FY),Total # tourists who took tours of El Pueblo tours (Monthly),TARGET: Total # of El Pueblo tours (Monthly),total # of museum visits (Monthly),TARGET: # of museum visits (Monthly),"# of cultural, traditional and informational events (Annually FY)","PROJECTED: # of cultural, traditional and informational events (Annually FY)","# of cultural, traditional and informational events (Monthly)","# of cultural, traditional and informational event attendees (Monthly)",# of Work Orders Completed (Monthly),PROJECTED: # of Work Orders Completed (Annually FY)
06/30/2010 12:00:00 AM,Jun-10,Q4 FY10,FY 2010,,,,,,,,,,,,
06/30/2011 12:00:00 AM,Jun-11,Q4 FY11,FY 2011,,,,,,,,,,,,
06/30/2012 12:00:00 AM,Jun-12,Q4 FY12,FY 2012,,,,,,,20,,,,,
06/30/2013 12:00:00 AM,Jun-13,Q4 FY13,FY 2013,11296,,,,,,20,,,,420,
07/31/2013 12:00:00 AM,Jul-13,,,,,,,,,,,,,,
08/31/2013 12:00:00 AM,Aug-13,,,,,,,,,,,,,,
09/30/2013 12:00:00 AM,Sep-13,Q1 FY14,,,,,,,,,,,,,
10/31/2013 12:00:00 AM,Oct-13,,,,,,,,,,,,,,
11/30/2013 12:00:00 AM,Nov-13,,,,,,,,,,,,,,
12/31/2013 12:00:00 AM,Dec-13,Q2 FY14,,,,,,,,,,,,,
01/31/2014 12:00:00 AM,Jan-14,,,,,754,,42612,,,,6,1266,35,
02/28/2014 12:00:00 AM,Feb-14,,,,,856,,33568,,,,8,2727,38,
03/31/2014 12:00:00 AM,Mar-14,Q3 FY14,,,,928,,51177,,,,6,5646,42,
04/30/2014 12:00:00 AM,Apr-14,,,,,982,,45033,,,,10,7900,24,
05/31/2014 12:00:00 AM,May-14,,,,,2129,,70355,,,,10,14272,44,
06/30/2014 12:00:00 AM,Jun-14,Q4 FY14,FY 2014,10288,10288,1181,600,51138,600,25,25,12,3765,31,301
07/31/2014 12:00:00 AM,Jul-14,,,,,1185,600,60535,600,,,9,4035,31,
08/31/2014 12:00:00 AM,Aug-14,,,,,557,600,59007,600,,,10,9125,19,
09/30/2014 12:00:00 AM,Sep-14,Q1 FY15,,,,338,600,44669,600,,,11,57750,,
10/31/2014 12:00:00 AM,Oct-14,,,,,,,,,,,,,,
11/30/2014 12:00:00 AM,Nov-14,,,,,,,,,,,,,,
12/31/2014 12:00:00 AM,Dec-14,Q2 FY15,,,,,,,,,,,,,
01/31/2015 12:00:00 AM,Jan-15,,,,,,,,,,,,,,
02/28/2015 12:00:00 AM,Feb-15,,,,,,,,,,,,,,
03/31/2015 12:00:00 AM,Mar-15,Q3 FY15,,,,,,,,,,,,,
04/30/2015 12:00:00 AM,Apr-15,,,,,,,,,,,,,,
05/31/2015 12:00:00 AM,May-15,,,,,,,,,,,,,,
06/30/2015 12:00:00 AM,Jun-15,Q4 FY15,FY 2015,,10000,,,,,,25,,,,350
