Categories,Hispanic        ,Black,Asian,Native American,Caucasian,Other,Total
William Mead Homes,940,94,94,0,24,0,1152
Rose Hill Courts,210,12,16,0,0,4,242
Ramona Gardens,1677,78,20,0,16,0,1791
Pueblo Del Sol,768,2,84,0,2,0,856
New Pico & Las Casitas,906,31,4,3,8,0,952
Estrada Courts,1126,39,19,0,10,1,1195
Dana Harbor View & Wilmington,308,60,4,0,12,0,384
Rancho San Pedro,1045,280,15,1,26,0,1367
Pueblo Del Rio,1527,329,122,1,26,0,2005
Mar Vista Gardens,1604,198,69,1,50,0,1922
San Fernando Gardens,1594,79,6,0,13,0,1692
Avalon Gardens,308,131,2,0,2,0,443
Jordan Downs,1897,697,5,1,20,0,2620
Gonzaque Village,284,151,0,0,6,0,441
Nickerson Gardens,1972,1198,5,0,42,0,3217
Imperial Courts,911,528,1,0,14,0,1454
TOTAL COUNT,17077,3907,466,7,271,5,21733
