Year,Tons
1970,25937196
1969,26946622
1968,28931577
1967,26293560
1966,26182113
1965,25125011
1964,24494049
1963,24351976
1962,26088015
1961,25012412
1960,24620397
1959,23298574
1958,21869027
1957,24125432
1956,24082933
1955,24819837
1954,26513998
1953,24762587
1952,24022510
1951,23699624
1950,22693233
1949,17115867
1948,17988872
1947,15443689
1946,0
1945,0
1944,0
1943,0
1942,13091902
1941,18679785
1940,19931075
1939,18327890
1938,20264264
1937,18610713
1936,18652170
1935,17340026
1934,18348196
1933,17850906
1932,18994802
1931,23355293
1930,25920159
1929,26099245
1928,25402262
1927,25133963
1926,23067365
1925,22268421
1924,25550464
1923,18870102
1922,6533589
1921,4296254
1920,3528280
